,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
91-7-3,91,7,3,"The mountain range known as the Lion Mountains, whose highest point is Picket Hill at just under 3,000 feet, is located on the Atlantic coast entirely within what nation?",SIERRA LEONE,GEOGRAPHY,46,26,17,10,5,12,16,3.1,1.9
91-7-4,91,7,4,"What is the two-word term, a phrase from Italian that idiomatically means ""from the beginning"" and is often abbreviated ""D.C."", which indicates in musical notation that the previous section of music should be repeated?",DA CAPO,CLASS MUSIC,69,51,39,28,17,31,35,3.1,2.0
91-7-5,91,7,5,"In 1958, a Swede named Arne Larsson became the first recipient of an implanted artificial device whose natural function is normally provided by a mass of muscle fibers called the sinoatrial node. This device is most commonly and colloquially referred to by what word?",PACEMAKER,SCIENCE,96,94,93,88,81,87,89,3.1,0.7
91-7-6,91,7,6,"Which derived unit in the International System of Units would fit best in a particular list that includes a Latin word for ""bird"", the location of Davy Crockett's last stand, a certain fictional spacecraft, and a comic book/cartoon dalmatian-like dog?",HERTZ,LIFESTYLE,70,59,48,34,15,23,38,3.1,1.7
91-8-1,91,8,1,"What was the last name of the brothers who operated a haberdashery for many years on the corner of 49th Street and Broadway in Manhattan, in a building they would come to own for decades (and name after themselves), and which would become a locus for American popular music?",BRILL,POP MUSIC,51,34,23,14,7,15,20,3.2,1.7
91-8-2,91,8,2,"The October 1986 summit meeting between Ronald Reagan and Mikhail Gorbachev, which defied expectations by nearly ending the Cold War arms race and bringing about nuclear disarmament, took place in what European capital city?",REYKJAVIK,WORLD HIST,64,47,34,22,11,24,29,3.2,1.3
91-8-3,91,8,3,"Until October 2018, the name of a famous bridge (originally the Narrows Bridge) was officially misspelled for more than fifty years due to a typo in a construction contract (as it properly has two double letters, not just one). What was this misspelled word (correct spelling not required)?",VERRAZZANO,GEOGRAPHY,86,75,64,51,34,46,56,3.2,1.6
91-8-4,91,8,4,"The best-selling American football video game is known by the shorthand ""Madden""; the best-selling basketball series is ""2K'; baseball's is ""MLB the Show"". What is the common short name for the best-selling soccer video game series of all time (and by far the biggest for any sport)?",FIFA,GAMES/SPORT,92,90,89,86,84,85,87,3.2,0.7
91-8-5,91,8,5,"What is the meteorological term for a brief, sudden, violent windstorm, lasting longer than a gust (at least a minute) but shorter than a sustained wind? (It is derived etymologically from a Nordic term—perhaps nautical, perhaps meaning to ""cry out""—and is at the center of a 1996 Ridley Scott box office disappointment.)",SQUALL,SCIENCE,73,58,47,35,24,38,42,3.2,1.5
91-8-6,91,8,6,"The Nadine Gordimer novels The Late Bourgeois World (1966), Burger's Daughter (1979), and July's People (1981) were set in, and banned in, what country?",SOUTH AFRICA,LITERATURE,67,48,32,19,10,21,28,3.2,1.9
91-9-1,91,9,1,"Rent-a-Car Crash-up Derby, Alligator Tightrope, Shopping Cart Attack, Wasabi Snooters, and Golf Course Airhorn are a few of the dozens of segments from a 2002 film. Name that film, or the earlier television series from which it spun off.",JACKASS: THE MOVIE/JACKASS,TELEVISION,93,90,87,82,74,78,83,2.6,1.0
91-9-2,91,9,2,"Although mass and energy can be converted into one another, the total quantity of mass and energy in a system must remain constant. This conservation law in physics is reflected in Einstein's famous equation where e is energy, m is mass, and c represents what?",SPEED OF LIGHT (IN A VACUUM),SCIENCE,97,92,85,78,65,75,80,2.6,0.8
91-9-3,91,9,3,"Unimak, Umnak, and Attu are among the largest islands in what island chain and volcanic island arc, known natively as Unangam Tanaa?",ALEUTIAN ISLANDS,GEOGRAPHY,83,70,58,43,25,37,49,2.6,1.8
91-9-4,91,9,4,"Prussian Johann Gottlieb Goldberg, an 18th century composer and harpsichordist to Russian Count Hermann Karl von Keyserlingk of the Duchy of Courland and Semigallia, died of tuberculosis at age 29 in 1756, and is most remembered today thanks to a 1741 composition by whom?",JOHANN SEBASTIAN BACH,CLASS MUSIC,83,69,54,42,29,43,49,2.6,1.9
91-9-5,91,9,5,"What is the term used for the underground burial galleries of the Roman Empire, used most often (but not always) for Christian burials? The word today is often used for any subterranean cemetery and sometimes for underground passageways in general.",CATACOMBS,WORLD HIST,93,90,87,81,72,80,82,2.6,1.0
91-9-6,91,9,6,"In 1673, during his performance in the title role of a play he wrote while ill, Molière collapsed, and he died later that day. The play, perhaps ironically, has a title often translated into English as The _____ Invalid (provide the adjective—a direct cognate from the original French title—that fills in the blank).",IMAGINARY,LITERATURE,50,30,19,11,5,11,17,2.6,2.3
91-10-1,91,10,1,"What is the two-word phrase for the property of a liquid where the molecules at its exterior edge show a strong inward attraction, with these cohesive forces forming an apparent outer membrane across the edge?",SURFACE TENSION,SCIENCE,85,79,74,67,55,62,68,3.7,1.3
91-10-2,91,10,2,"Derived from the French verb meaning ""to spin thread"", what is the four-letter name of the herb—dried sassafras leaves reduced to powder—that can be used to thicken and flavor soups, stews, and, most notably, gumbo?",FILÉ,FOOD/DRINK,56,41,30,21,13,23,27,3.7,1.5
91-10-3,91,10,3,"The Nereids, Naiads, Dryads, Oceanids, and Napaeae were among the groups of minor divinities in Greek mythology who are collectively classified by what term, from the Greek for ""bride"" or ""young wife""?",NYMPH,LITERATURE,92,85,76,66,53,65,70,3.7,1.6
91-10-4,91,10,4,"With the christening of the Chiefs' home in March 2021 as GEHA Field at Arrowhead Stadium, there remain exactly three stadiums that are primary homes to NFL teams and are not named after a corporate entity. Give the full name (city and team name) of any one of the three teams that play in these three stadiums.","CHICAGO BEARS, CINCINNATI BENGALS, GREEN BAY PACKERS",GAMES/SPORT,88,84,77,70,62,66,73,3.7,1.2
91-10-5,91,10,5,"Although originally included in the 1963 establishment of the Federation of Malaysia, which of the country's fourteen states was forced to secede—and form its own nation—in 1965 due (at least in part) to fears that its largely Chinese population would challenge Malay political dominance?",SINGAPORE,WORLD HIST,89,81,74,63,45,59,65,3.7,1.6
91-10-6,91,10,6,"Rose Marie, George Gobel, Vincent Price, and, most centrally, Paul Lynde were stars that appeared regularly on the classic version of what game show?",HOLLYWOOD SQUARES,TELEVISION,93,88,82,74,62,65,76,3.7,1.4
91-11-1,91,11,1,"H.R.3684, a $1 trillion bill that was passed by the 117th Congress after a bipartisan vote in the US House of Representatives on November 5, 2021, is officially known as the [REDACTED] Investment and Jobs Act. What word has been redacted?",INFRASTRUCTURE,CURR EVENTS,92,86,82,75,67,71,77,2.9,0.6
91-11-2,91,11,2,"One of 20th-century author Mohammad-Ali Jamalzadeh's first successful short stories—a genre in which he is regarded as a master—was titled ""Farsi shakar ast"", which translates to English as ""_____ is Sugar"" (fill in the blank).",PERSIAN,LITERATURE,73,56,44,32,18,35,38,2.9,2.0
91-11-3,91,11,3,"The ""city"" of Nuuk (technically an illoqarfik and formerly known as Godthåb) is the most populous city on what island?",GREENLAND,GEOGRAPHY,96,91,85,75,55,68,75,2.9,1.5
91-11-4,91,11,4,"Belfast-born physicist and mathematician William Thomson, who is widely credited with clarifying the thermodynamic concept of absolute zero and determining its correct value, was elevated to the peerage in 1892, becoming 1st Baron what?",KELVIN,SCIENCE,88,81,67,53,33,40,57,2.9,1.8
91-11-5,91,11,5,"What was the last name of the patriarch and self-made millionaire who was the first chair of the Securities and Exchange Commission in 1934, chair of the powerful US Maritime Commission in 1937, and the US Ambassador to the United Kingdom in 1938?",KENNEDY,AMER HIST,79,63,51,39,23,37,44,2.9,1.5
91-11-6,91,11,6,"Rebecca Rabbit, Suzy Sheep, and Danny Dog are among the close friends of what cheeky animated British ungulate? (Full name required.)",PEPPA PIG,TELEVISION,82,73,65,60,50,52,62,2.9,1.3
91-12-1,91,12,1,"In math, a ""multiplicative inverse"" can be defined, for a number x, as the number which when multiplied by x produces the ""multiplicative identity"" (i.e., one). In most scenarios, the multiplicative inverse is much better known by what other term?",RECIPROCAL,MATH,78,64,53,46,34,44,50,2.7,1.2
91-12-2,91,12,2,"The name of what pencil model, produced by a company founded by American entrepreneur Joseph Dixon in 1827, comes from the discovery of a graphite ore in 1815 on Lead Mountain in upstate New York?",TICONDEROGA,BUS/ECON,84,75,69,61,48,56,63,2.7,1.0
91-12-3,91,12,3,"The title of a 1988 stylized documentary by Errol Morris, when shifted on the visible color spectrum, becomes an ambitious 1998 war epic by Terrence Malick. Give the title of either film.",THE THIN BLUE LINE/THE THIN RED LINE,FILM,88,78,70,55,36,48,59,2.7,1.4
91-12-4,91,12,4,"In a mock-epic poem published in The New York Review of Books in 1984 titled ""The SoHoiad"", in which critic Robert Hughes pillories the commercialization and dishonesty of the New York art scene in that decade, he refers to two particular artists (rather unfairly) as ""Keith Boring"" and ""Jean-Michel Basketcase"". What were the actual last names of these two individuals?","HARING, BASQUIAT",ART,72,61,50,37,26,37,43,2.7,2.1
91-12-5,91,12,5,"Northumbria, Mercia, East Anglia, and Kent are generally identified as four of the seven kingdoms in England from the 5th century until the 8th century. The other three are named after what Germanic people (specifically, their West, East, and South tribes), who entered Britain with the Angles during the latter stages of the Roman occupation?",SAXONS,WORLD HIST,93,88,84,73,53,67,73,2.7,1.2
91-12-6,91,12,6,"Coca, guano, jerky, poncho, and llama are among the words that originated in what language, which was spoken by the Incan tribes around Cuzco and today has official status in Peru, Ecuador, and Bolivia?",QUECHUA,LANGUAGE,75,60,47,34,19,32,40,2.7,1.9
91-13-1,91,13,1,"The association of doves with peace originates with the biblical story of the Great Flood, during which a dove—released by Noah after the rains stopped—returned holding what in its beak (a sign of life indicating that the waters had receded)?",OLIVE LEAF/BRANCH,LIFESTYLE,99,98,97,95,89,92,94,2.9,0.7
91-13-2,91,13,2,"Of the actual historical people after whom elements of the periodic table are named, two are women. One is Marie Curie, while the other was a Viennese-born Swedish physicist who was a co-discoverer of nuclear fission in 1938. What is her name, commemorated in element 109?",LISE MEITNER,SCIENCE,44,24,15,9,4,14,15,2.9,2.1
91-13-3,91,13,3,"The 2021 United Nations Climate Change Conference, which is known as COP26 (as it is the 26th ""Conference of the Parties"" to the UN Framework Convention on Climate Change), convened on October 31, 2021, in what city?",GLASGOW,CURR EVENTS,80,72,66,56,42,55,59,2.9,0.9
91-13-4,91,13,4,"While all three claims are debatable, what mountain—a volcano that last erupted in 1707—is widely credited as the world's most visited mountain (credible given its proximity to a major world city), as the world's most climbed (possible as no experience is necessary during the summer months), and also as the world's most photographed (a fact that would not be its only association with photography)?",MT. FUJI,GEOGRAPHY,93,90,84,75,57,69,76,2.9,1.1
91-13-5,91,13,5,"Most races which are categorized as TT races (for ""Tourist Trophy""), including the original Isle of Man TT which first took place in 1907 and the Dutch TT which is normally held each June, are races using what conveyance?",MOTORCYCLE,GAMES/SPORT,53,38,31,23,17,26,28,2.9,1.8
91-13-6,91,13,6,"""Africa for Africans at home and abroad"" was the slogan of an organization founded by what Jamaican in 1914, whose efforts in the US starting in 1916 focused on repatriation of Black people to a new African republic established from former German colonies?",MARCUS GARVEY,AMER HIST,69,54,42,30,15,29,36,2.9,2.1
91-14-1,91,14,1,"In an enduringly popular 1994 film adaptation, the character played by Morgan Freeman was an Irishman in Stephen King's original story. What name is used for that character in both the movie and novella?",RED,FILM,83,73,66,58,45,53,60,3.0,0.9
91-14-2,91,14,2,"The ancient cities of Argos, Sparta, and Megalopolis were located on what Greek peninsula, connected to the mainland by the Isthmus of Corinth?",PELOPONNESUS/PELOPONNESE,WORLD HIST,86,71,57,42,21,40,48,3.0,1.6
91-14-3,91,14,3,"""Now and Forever"" was the tagline for what musical, which, with 21 years in London and 18 on Broadway, did seem to run forever, figuratively speaking?",CATS,THEATRE,75,66,59,52,43,52,55,3.0,1.6
91-14-4,91,14,4,"What publishing partnership, formed in 1857 between an established lithographer and his firm's bookkeeper, promoted its lithographs for many years as ""Colored Engravings for the People""?",CURRIER & IVES,LITERATURE,59,41,29,18,8,17,25,3.0,2.1
91-14-5,91,14,5,"The Hegira, which marks the beginning of the Muslim calendar, was Muhammad's secret migration in 622 from Mecca to escape persecution and live among the people of Yathrib, which is today better known as what?",MEDINA,LIFESTYLE,76,63,49,36,20,33,42,3.0,1.6
91-14-6,91,14,6,"Thousands of figures created in the third century BCE and discovered near the Chinese city of Xi'an were sculpted in what medium, which is included in the name by which the collection is regularly known?",TERRA COTTA,ART,94,91,86,79,66,74,80,3.0,0.9
91-15-1,91,15,1,"Name the German who won Wimbledon Singles championships in 1988, 1989, 1991, 1992, 1993, 1995, and 1996, with the first of those a part of a historic ""Golden Slam"" (all four Grand Slams plus Olympic gold).",STEFFI GRAF,GAMES/SPORT,84,75,68,54,39,47,58,3.1,1.4
91-15-2,91,15,2,"At least 60 pharaohs of ancient Egypt's 18th to 20th dynasties, beginning with Thutmose I and famously including Tutankhamun, were buried in tombs in a narrow gorge in western Thebes known (quite accurately, in fact) as the ______ of the _____. (Fill in both blanks.)","VALLEY, KINGS",WORLD HIST,95,90,83,73,55,67,74,3.1,1.0
91-15-3,91,15,3,What unit of measurement of angles is equal to approximately 57.296 degrees? Exactly π/2 of this unit equals a right angle.,RADIANS,MATH,77,67,57,49,39,50,53,3.1,1.5
91-15-4,91,15,4,"In the original 1955 Broadway run of the musical Damn Yankees, Gwen Verdon played what character, the devil's assistant who gets whatever she wants?",LOLA,THEATRE,72,55,43,30,17,28,37,3.1,2.0
91-15-5,91,15,5,"American chemist Stephanie Kwolek developed the first liquid crystal polymer fiber, leading to the development of poly-paraphenylene terephthalamide, which has a myriad of applications (e.g., tires, cables, helmet, ballistic body armor). This polymer is better known by what brand name owned by DuPont (Kwolek's employer for 40+ years)?",KEVLAR,SCIENCE,93,88,83,75,62,70,76,3.1,1.0
91-15-6,91,15,6,Africa's third-largest lake by area (after Victoria and Tanganyika) covers 20% of its namesake country. What is the name that the lake and country share?,MALAWI,GEOGRAPHY,56,39,29,20,10,20,25,3.1,1.8
91-16-1,91,16,1,"Of Athenian dramatist Sophocles's 123 plays, only seven remain intact, including three relating to Oedipus and his children: Oedipus the King, Oedipus at Colonus, and what third, named after and centered on Oedipus and Jocasta's daughter?",ANTIGONE,LITERATURE,72,59,45,34,20,34,40,3.1,2.0
91-16-2,91,16,2,"1950's ""Rollin' Stone"" was the first single on the Chicago-based Chess record label by what artist, who was born McKinley Morganfield in (or around) 1915 and raised near Clarksdale, MS?",MUDDY WATERS,POP MUSIC,71,53,40,28,17,28,35,3.1,2.1
91-16-3,91,16,3,"According to on-screen text that opens the film, what 1999 movie is based on found footage shot five years prior by three student documentary filmmakers?",THE BLAIR WITCH PROJECT,FILM,98,98,96,93,88,90,93,3.1,0.8
91-16-4,91,16,4,"The policy with respect to Latin America during the early Franklin D. Roosevelt administration had what popular name, which today may be more associated with State Farm Insurance, but in the 1930s reflected America's intended hands-off approach and military withdrawal from the region?",GOOD NEIGHBOR POLICY,AMER HIST,94,90,85,78,65,72,79,3.1,1.1
91-16-5,91,16,5,"A border crisis and humanitarian crisis erupted in the summer of 2021 as tens of thousands of migrants, mostly from the Middle East and Africa, attempted to enter the European Union from what country, in an orchestrated act by that country in retaliation for the EU's economic sanctions against it?",BELARUS,CURR EVENTS,74,64,57,48,35,45,51,3.1,1.2
91-16-6,91,16,6,"Leland McKenzie, Douglas Brackman, Ann Kelsey, Arnie Becker, and Stuart Markowitz were among the large cast of characters on what acclaimed ensemble drama, which aired Thursday nights at 10:00 pm (ET) on NBC from 1986 to 1994?",L.A. LAW,TELEVISION,72,57,48,35,23,33,41,3.1,1.6
91-17-1,91,17,1,"What was the last name of the Scottish botanist who introduced the popular Pseudotsuga menziesii into cultivation in 1827, and thus after whom the tree is commonly named (or mis-named, as it is actually a conifer in the pine family)?",DOUGLAS,SCIENCE,83,74,63,53,37,48,57,4.0,1.4
91-17-2,91,17,2,The House of Hashim (a.k.a. Hashemites) is the ruling royal family of what country (as reflected in the country's full official name)?,JORDAN,GEOGRAPHY,85,73,60,45,27,45,51,4.0,1.6
91-17-3,91,17,3,"Name the country artist who released the 1987 album Always and Forever, which spent 40 weeks at #1 on the Billboard Country album chart and saw four of its songs (including ""Forever and Ever, Amen"") reach #1 on the Country Singles chart.",RANDY TRAVIS,POP MUSIC,41,28,22,18,14,21,22,4.0,1.7
91-17-4,91,17,4,"American businesswoman Marissa Mayer, who was an executive at Google for many years (where she was employee #20), served as president and CEO of what other company from July 2012 until its acquisition by Verizon in 2017?",YAHOO!,BUS/ECON,84,78,72,65,54,63,67,4.0,0.7
91-17-5,91,17,5,"What was the name of the building, made of prefabricated glass and iron, that was constructed in Hyde Park, London, to accommodate the Great Exhibition of 1851? It was the birthplace (after its move to South London) and namesake of a still-extant English Premiership side.",CRYSTAL PALACE,WORLD HIST,88,79,66,51,32,48,56,4.0,1.5
91-17-6,91,17,6,A best-selling series of young adult mysteries by British author Holly Jackson begins with the 2019 novel (and is collectively known as) A Good Girl's Guide to what?,MURDER,LITERATURE,68,60,50,43,34,45,47,4.0,1.7
91-18-1,91,18,1,"Greatly influenced by Italian gastronomy (which makes sense given its proximity), one French city is most associated with a cooking style noteworthy for its prominent use of olives, anchovies, tomatoes, capers, and garlic, such as its famous salade. What is the name of this city?",NICE,FOOD/DRINK,91,85,81,71,56,68,73,2.5,1.1
91-18-2,91,18,2,"Connections between what series and The Sopranos include creator Terence Winter (a Sopranos writer and producer), lead actor Steve Buscemi (who played a prominent Sopranos character), the New Jersey setting, and Sunday night broadcast on HBO?",BOARDWALK EMPIRE,TELEVISION,90,85,80,72,60,67,74,2.5,1.0
91-18-3,91,18,3,"The abstract art movement known as suprematism, which is characterized by basic, flat geometric shapes on plain backgrounds using a limited range of color, is most associated with what country, where it originated in 1913?",RUSSIA,ART,55,35,26,16,10,21,23,2.5,2.4
91-18-4,91,18,4,"While the Cabinet of the US President has expanded to fifteen executive departments, the original cabinet of George Washington consisted of just four: the Attorney General and the Departments of State, Treasury, and what other (the only original cabinet department that no longer exists in its original form)?",WAR,AMER HIST,93,89,83,74,54,68,74,2.5,1.3
91-18-5,91,18,5,"Hybrid Theory was an early name of—and also the 2000 nu and rap metal debut album from—what group, who were named ultimately after a recreational area in Santa Monica, California (with a spelling change for internet domain reasons)?",LINKIN PARK,POP MUSIC,85,78,72,66,56,65,68,2.5,1.6
91-18-6,91,18,6,"What is the name of the titular and central figure of the 2019 HBO documentary The Inventor (a label that, as it turns out, is dubious if not outright false)?",ELIZABETH HOLMES,BUS/ECON,75,65,59,49,38,48,53,2.5,1.3
91-19-1,91,19,1,"What word refers most commonly to a solution consisting of resin secreted by a certain scale insect, in a solvent of ethanol, that has been used widely as a high-gloss varnish, as a protective coating for various surfaces, as a food glaze, in electrical insulation, and elsewhere?",SHELLAC,SCIENCE,58,46,37,28,18,31,33,3.1,1.6
91-19-2,91,19,2,Idris Elba has portrayed the self-destructive and morose title character on what gritty BBC-produced crime drama series since its debut in 2010?,LUTHER,TELEVISION,80,73,66,58,45,57,61,3.1,1.2
91-19-3,91,19,3,"""Way 2 Sexy"" (featuring Future & Young Thug), ""Knife Talk"" (featuring 21 Savage & Project Pat), ""Girls Want Girls"" (featuring Lil Baby), and ""Fair Trade"" (featuring Travis Scott) are recent 2021 hit songs by what artist, who has served since September 2013 as global ambassador of the Toronto Raptors?",DRAKE,POP MUSIC,91,87,84,79,71,77,80,3.1,1.1
91-19-4,91,19,4,"The Outrage and A Fistful of Dollars, both from 1964, are among the successful Western films modeled on the work of legendary director Akira Kurosawa, but the most successful such film was what 1960 masterpiece directed by John Sturges?",THE MAGNIFICENT SEVEN,FILM,87,74,60,43,26,39,50,3.1,1.6
91-19-5,91,19,5,"After an investigation revealed that the FBI and NYPD withheld vital evidence which would likely have led to their acquittal at trial, the Supreme Court of the State of New York in November 2021 vacated the convictions of Muhammad Abdul Aziz and Khalil Islam (the latter posthumously) for the February 1965 assassination of whom?",MALCOLM X,CURR EVENTS,98,95,91,84,68,77,84,3.1,1.0
91-19-6,91,19,6,"In the 1730s, a British merchant captain told a story of torture at the hands of Spanish sailors, which was used to arouse public support in Britain for a war against their Atlantic trade rivals. This war was vividly named after what the captain allegedly lost while being tortured. What did he lose?",EAR,WORLD HIST,64,45,32,23,13,24,30,3.1,2.2
91-20-1,91,20,1,"What British pop act, while one of the most successful of the 1980s, only released a total of two studio albums during its formal five-year existence—1983's Fantastic and 1984's Make It Big?",WHAM!,POP MUSIC,84,71,63,52,40,52,57,3.8,1.4
91-20-2,91,20,2,"Love Medicine (1984), The Plague of Doves (2008), The Round House (2012), and The Night Watchman (2020) are novels by what Pulitzer winner, a pre-eminent author of Native American fiction?",LOUISE ERDRICH,LITERATURE,38,28,22,16,9,18,20,3.8,1.9
91-20-3,91,20,3,The capital city and main port of French Guiana shares its name with a pepper native to the area. What is that name?,CAYENNE,GEOGRAPHY,89,75,62,46,32,50,54,3.8,1.3
91-20-4,91,20,4,"Harry Alonzo Longabaugh was the actual name of an outlaw, Wild Bunch member, title character of a 1969 Western movie, and film institute namesake who was known by what nickname?",THE SUNDANCE KID,FILM,90,78,66,50,31,50,56,3.8,1.0
91-20-5,91,20,5,"Olympic gymnastics are divided into three categories: artistic gymnastics, rhythmic gymnastics, and a third introduced in 2000 and known as what? Belarus's Ivan Litvinovich and China's Xueying Zhu won gold in this category in Tokyo in 2021.",TRAMPOLINE,GAMES/SPORT,56,41,33,24,17,26,30,3.8,1.4
91-20-6,91,20,6,"What city was the birthplace of American playwright August Wilson, in its predominantly African American Hill District, which also served as the setting for many of his plays?",PITTSBURGH,THEATRE,75,55,38,24,12,25,33,3.8,1.7
91-21-1,91,21,1,What military slang for an unspecified and obscenely early hour in the morning entered broader consciousness via a 2012 film thriller?,ZERO DARK THIRTY,FILM,92,87,81,73,60,66,75,2.9,0.9
91-21-2,91,21,2,"While the Wright brothers' first flight famously took place in 1903 in Kitty Hawk, North Carolina, they developed the technology in what Midwestern city, where the brothers lived and operated a bicycle shop?",DAYTON,AMER HIST,79,65,53,39,26,39,46,2.9,1.3
91-21-3,91,21,3,"15 players per side vs. 13; five points for a try vs. four; three points for drop goals and penalties vs. one and two respectively; certain applications of post-tackle procedures, scrums, and lineouts—these are among the differences between rugby union and what other, quite similar sport?",(RUGBY) LEAGUE,GAMES/SPORT,51,35,26,18,11,19,24,2.9,1.7
91-21-4,91,21,4,"One word (or two homophones, as the spellings can vary) can be used both for a certain musical instrument in the lute family and for a certain kitchen julienner. What is that word?",MANDOLIN/MANDOLINE,LIFESTYLE,92,87,83,76,64,70,77,2.9,1.1
91-21-5,91,21,5,"The German architect Walter Gropius, a pioneer of the international modern style of architecture, served from 1919 to 1928 as the director of what school of design (which closed in 1933 under pressure from Nazi authorities)?",BAUHAUS,ART,90,82,73,57,35,50,61,2.9,2.2
91-21-6,91,21,6,"1985's Radio, with its breakout single and boombox paean ""I Can't Live Without My Radio"", was the debut LP from what rapper, who has achieved significant later-career success as a television actor and host?",LL COOL J,POP MUSIC,72,59,50,41,34,42,47,2.9,1.5
91-22-1,91,22,1,"The original and traditional version of the Viennese indulgence known as Sachertorte is a dense chocolate layer cake coated with dark chocolate and served with whipped cream, with the cake layers sandwiching a layer of jam made from what fruit?",APRICOT,FOOD/DRINK,49,34,24,16,10,21,22,3.6,1.5
91-22-2,91,22,2,"The ""Pop-o-Matic"" die container was an innovation introduced in 1965 with what board game, now produced by Hasbro?",TROUBLE/FRUSTRATION,GAMES/SPORT,77,68,63,56,49,51,59,3.6,1.2
91-22-3,91,22,3,"What celebrity chef, who has hosted a myriad of eponymous shows on the Food Network (in addition to his appearances on Iron Chef America, Chopped, Worst Cooks in America, Food Network Star, The Best Thing I Ever Ate, and many others), has been on the network since its debut in 1994, and is set to celebrate his 30th anniversary on the channel after a new three-year contract was settled in November 2021.",BOBBY FLAY,TELEVISION,62,53,49,45,38,45,47,3.6,1.0
91-22-4,91,22,4,"A large commercial truck that in the US might be called a ""big rig"", ""18-wheeler"", ""tractor trailer"", or ""semi"" would in Britain most likely be called a what, from an English dialect verb meaning to tug or drag?",(ARTICULATED) LORRY,LANGUAGE,92,89,85,79,62,70,78,3.6,1.5
91-22-5,91,22,5,"What term in dance is typically used to describe a turn around one leg, most commonly with the foot of the other leg touching the knee of the turning leg (in passé)?",PIROUETTE,CLASS MUSIC,82,75,74,71,66,71,72,3.6,1.7
91-22-6,91,22,6,"What word, derived in part from a term in Old Norse for ""color"", is used for a water-soluble mixture of various naturally occurring organic dyes extracted from lichens that is used to test materials for acidity?",LITMUS,SCIENCE,85,76,68,58,45,60,62,3.6,1.7
91-23-1,91,23,1,"In the ""Markup Language"" abbreviated XML, which provides greater flexibility over languages such as HTML with customized tags for the storage, organization, and presentation of data, what word is represented by the ""X""?",EXTENSIBLE,SCIENCE,39,32,26,22,17,24,25,2.7,1.8
91-23-2,91,23,2,"State College, PA, is home to the campus of Penn State University; College Park, MD, is home to the University of Maryland; and Southern Adventist University is in Collegedale, TN. What American university's home town is named College Station?",TEXAS A&M,GEOGRAPHY,88,80,72,64,52,59,67,2.7,1.3
91-23-3,91,23,3,"What is the word used for the type of freestyle skiing competition where competitors ski down a steep and bumpy path, and are scored based on turning, jumping, and speed? The word is also used for the bumps themselves.",MOGULS,GAMES/SPORT,87,81,79,72,65,65,74,2.7,1.1
91-23-4,91,23,4,"She heaved a sigh and wiped her eye,And over the hillocks she raced;And tried what she could, as a shepherdess should,That each tail be properly placed.Who is the ""shepherdess"" in this nursery rhyme?",(LITTLE) BO-PEEP,LITERATURE,81,75,70,64,56,64,66,2.7,1.1
91-23-5,91,23,5,"The American military operation conducted in December 2003 that led to the capture of former Iraqi president Saddam Hussein had what name, for some reason after a PG-13-rated 1984 teen heroism action film?",OPERATION RED DAWN,AMER HIST,81,69,58,46,34,45,52,2.7,1.5
91-23-6,91,23,6,What is the German translation of the Spanish word árbol and the Arabic shajara (شجرة)?,BAUM,LANGUAGE,67,52,41,29,17,30,35,2.7,2.0
91-24-1,91,24,1,"What is the two-letter title of the 1927 film starring quintessential ""flapper"" Clara Bow from which she earned her famous nickname?",IT,FILM,83,67,51,34,20,37,43,3.0,1.9
91-24-2,91,24,2,"[REDACTED] [REDACTED] is a party game of teamwork and betrayal. Crewmates work together to complete tasks before one or more Impostors can kill everyone aboard.So says indie gaming studio Innersloth about what game, whose two-word name is redacted in the previous quote, and which was released in 2018 but became massively popular in 2020?",AMONG US,GAMES/SPORT,70,68,63,61,58,63,63,3.0,0.9
91-24-3,91,24,3,"Merriam-Webster reported a spike in searches in its online dictionary on March 17, 2019, for what specific term for a lobster-like freshwater crustacean? They attributed the increase to a televised interview with novelist Delia Owens that was broadcast on that day. (Note, correct spelling is required; singular or plural is acceptable.)",CRAWDAD,LITERATURE,80,71,65,57,45,53,59,3.0,1.5
91-24-4,91,24,4,A commercial enterprise located on Weihenstephan Hill in the Bavarian town of Freising claims to be the oldest business in the world of what type?,BREWERY,FOOD/DRINK,84,77,72,65,56,63,67,3.0,1.5
91-24-5,91,24,5,What Yiddish slang term is used in English for the fee or percentage taken by a bookmaker for accepting a gambler's wager?,VIGORISH/VIG,LANGUAGE,71,62,51,42,31,37,46,3.0,1.8
91-24-6,91,24,6,"What term in art for a particular type of drawing stick, made with ground pigments, chalk, and a binder such as gum arabic, is also a general term for a soft, subdued color?",PASTEL,ART,93,90,87,83,74,81,83,3.0,1.1
91-25-1,91,25,1,The legendary New Orleans jazz pianist who recorded with his group the Red Hot Peppers in the 1920s and claimed (dubiously) to have invented jazz in 1902 was known by what sweet-seeming stage name? (Full name required.),JELLY ROLL MORTON,POP MUSIC,72,54,40,26,14,26,34,3.0,2.3
91-25-2,91,25,2,"What is famous for, among many other things, lasting from 1337 to 1453?",HUNDRED YEARS' WAR,WORLD HIST,94,89,81,70,52,63,72,3.0,1.3
